articleCode,articleName,VendorKey,VendorName,categoryInit,categoryName,TypeInit,TypeName,startDate,expireDate,colourInit,colourName,sex,picture,basePrice,salePrice,notes
AGA-PI0001,ACLO - NAVY BLUE,AGA,CERULEFAN,2,BAG,1,BAG PACK,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,28,NAVY BLUE,M,-,192500,275000,MASTERING OCTOBER 2016
AGA-PI0002,BESTALE - RED,AGA,CERULEFAN,2,BAG,1,BAG PACK,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,34,RED,M,-,192500,275000,MASTERING OCTOBER 2016
AGA-PI0003,GREENLAND - BROWN,AGA,CERULEFAN,2,BAG,1,BAG PACK,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,7,BROWN,M,-,192500,275000,MASTERING OCTOBER 2016
AGA-PI0004,KEB - NAVY BLUE,AGA,CERULEFAN,2,BAG,1,BAG PACK,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,28,NAVY BLUE,M,-,192500,275000,MASTERING OCTOBER 2016
AGA-PI0005,POLAR - BROWN,AGA,CERULEFAN,2,BAG,1,BAG PACK,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,7,BROWN,M,-,192500,275000,MASTERING OCTOBER 2016
AGA-PI0006,POLAR - NAVY BLUE,AGA,CERULEFAN,2,BAG,1,BAG PACK,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,28,NAVY BLUE,M,-,192500,275000,MASTERING OCTOBER 2016
AGA-PI0007,CAMP CLUB - BLACK,AGA,CERULEFAN,3,HAT,2,GENERAL,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,1,BLACK,M,-,105000,150000,MASTERING OCTOBER 2016
AGA-PI0008,CAMP CLUB - NAVY BLUE,AGA,CERULEFAN,3,HAT,2,GENERAL,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,28,NAVY BLUE,M,-,105000,150000,MASTERING OCTOBER 2016
AGA-PI0009,NEU - BLACK,AGA,CERULEFAN,3,HAT,2,GENERAL,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,1,BLACK,M,-,105000,150000,MASTERING OCTOBER 2016
AGA-PI0010,NEU - NAVY BLUE,AGA,CERULEFAN,3,HAT,2,GENERAL,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,28,NAVY BLUE,M,-,105000,150000,MASTERING OCTOBER 2016
