noTrans,ArticleCode,Barcode,sizes,qty,basePrice,salePrice,DiscountType,discountPersen,discountRupiah,DiscExpenses,consignment,consignmentRp,subTotal,payment
01SCS19E280389,AR.SMD-RI002,20ARRI0225,L,1,87750,135000,2,0,40500,1,0,23625,94500,70875
01SCS19E280390,ESH.AR-SB0031,00ARSB0205,M,1,44500,135000,0,0,0,0,0,27000,135000,108000
01SCS19E280391,AR.PUB-SA002,20ARSA0130,L,1,224250,345000,2,0,69000,1,0,69000,276000,207000
01SCS19E280391,ESH.AR-SD0044,00ARSD0398,S,1,125000,315000,0,0,0,0,0,63000,315000,252000
01SCS19E280392,ESH.AR-SD0024,00ARSD0259,M,1,44500,135000,0,0,0,0,0,27000,135000,108000
01SCS19E280393,AR.PUB-SE006,20ARSE0022,M,1,97500,150000,2,0,30000,1,0,30000,120000,90000
01SCS19E280393,AR.PUB-SE033,20ARSE0630,M,1,97500,150000,2,0,30000,1,0,30000,120000,90000
01SCS19E280394,AR.CPT-RL014,20ARRL0311,ALL,1,94250,145000,2,0,29000,1,0,29000,116000,87000
01SCS19E280395,AR.ESB-SC001,20ARSC0305,M,1,204750,315000,2,0,63000,1,0,63000,252000,189000
01SCS19E280396,BSC.AR-SE0035,00ARSE0336,28,1,125000,365000,0,0,0,0,0,73000,365000,292000
01SCS19E280397,AR.CPT-SE001,20ARSE0353,M,1,94250,145000,2,0,29000,1,0,29000,116000,87000
01SCS19E280398,AR.TUC-SB002,20ARSB0030,XL,1,204750,315000,2,0,63000,1,0,63000,252000,189000
01SCS19E280399,AR.ESB-SC003,20ARSC0420,L,1,91000,140000,2,0,28000,1,0,28000,112000,84000
01SCS19E280399,ESH.AR-RJ0003,00ARRJ0020,M,1,43000,135000,0,0,0,0,0,27000,135000,108000
01SCS19E280399,ESH.AR-SE0026,00ARSE0252,M,1,44000,135000,0,0,0,0,0,27000,135000,108000
01SCS19E280400,ESH.AR-SB0006,00ARSB0025,L,1,44500,135000,0,0,0,0,0,27000,135000,108000
01SCS19E280401,AR.MER-RC004,20ARSE0690,ALL,1,97500,150000,2,0,45000,1,0,26250,105000,78750
01SCS19E280402,AR.TUC-RH004,20ARRH0666,L,1,204750,315000,2,0,63000,1,0,63000,252000,189000
01SCS19E280403,AR.PUB-SB022,20ARSB0121,M,1,97500,150000,2,0,30000,1,0,30000,120000,90000
01SCS19E280404,AR.HMR-SB025,20ARSB0416,32,1,194350,299000,2,0,59800,1,0,59800,239200,179400
01SCS19E280404,AR.VRS-SE001,20ARSE0317,32,1,298350,459000,2,0,137700,1,0,80325,321300,240975
01SCS19E280405,AR.PUB-SE023,20ARSE0089,L,1,159250,245000,2,0,49000,1,0,49000,196000,147000
01SCS19E280406,AR.SMD-RH005,20ARRH0744,L,1,211250,325000,2,0,97500,1,0,56875,227500,170625
01SCS19E280406,BSC.AR-SC0048,00ARSC0306,L,1,44500,159000,0,0,0,0,0,31800,159000,127200
